Section,Field,English,French
Testimonials,items [6] > testimonial,Implementation was seamless. We were live in 3 days with full CRM integration working perfectly.,L'implémentation était transparente. Nous étions opérationnels en 3 jours avec l'intégration CRM complète fonctionnant parfaitement.
CtaBanner,heading,Ready to Transform Your Customer Experience?,Prêt à transformer votre expérience client ?
CtaBanner,description,Join hundreds of businesses already using SynVoice to deliver exceptional voice support 24/7.,Rejoignez des centaines d'entreprises utilisant déjà SynVoice pour offrir un support vocal exceptionnel 24h/24.
CtaBanner,primaryButton,Start Free Trial,Essai gratuit
CtaBanner,secondaryButton,Book a Demo,Réserver une démo
Footer,newsletter > title,Stay up to date,Restez informé
Footer,newsletter > placeholder,Enter your email,Entrez votre email
Footer,newsletter > button,Subscribe,S'abonner
Footer,links > features,Features,Fonctionnalités
Footer,links > pricing,Pricing,Tarification
Footer,links > faq,FAQ,FAQ
Footer,links > testimonials,Testimonials,Témoignages
Footer,links > privacy,Privacy,Confidentialité
Footer,copyright,All rights reserved.,Tous droits réservés.
Faq,heading,Frequently Asked Questions,Foire aux questions
Faq,subheading,Answers to the most common questions about SynVoice.,Les réponses aux questions les plus fréquentes sur SynVoice.
Faq,items [1] > question,How long does it take to deploy a voice agent?,Combien de temps faut-il pour déployer un agent vocal ?
Faq,items [1] > answer,Most customers go live in under a week using our pre-built templates and guided onboarding.,La plupart de nos clients sont opérationnels en moins d'une semaine grâce à nos modèles pré-configurés et un accompagnement guidé.
Faq,items [2] > question,Can SynVoice integrate with our existing CRM?,SynVoice peut-il s'intégrer à notre CRM ?
Faq,items [2] > answer,"Absolutely. We offer native connectors for Salesforce, HubSpot, and Zendesk, plus a REST API for custom integrations.","Absolument. Nous proposons des connecteurs natifs pour Salesforce, HubSpot et Zendesk, ainsi qu'une API REST pour les intégrations personnalisées."
Faq,items [3] > question,How is usage billed?,Comment la consommation est-elle facturée ?
Faq,items [3] > answer,"Plans include a pool of call minutes. If you exceed your quota, additional minutes are billed at a transparent per-minute rate.","Les forfaits incluent un nombre de minutes d'appel. Au-delà du quota, les minutes supplémentaires sont facturées à un tarif transparent par minute."
Faq,items [4] > question,Is our data secure?,Nos données sont-elles en sécurité ?
Faq,items [4] > answer,"Yes. We're GDPR compliant, use end-to-end encryption, and offer on-prem deployments for Enterprise clients.","Oui. Nous sommes conformes au RGPD, utilisons le chiffrement de bout en bout et proposons un déploiement sur site pour les clients Enterprise."
Faq,items [5] > question,What languages do you support?,Quelles langues prenez-vous en charge ?
Faq,items [5] > answer,"SynVoice currently supports 30+ languages, and we're adding more every quarter.",SynVoice prend actuellement en charge plus de 30 langues et nous en ajoutons chaque trimestre.
Faq,items [6] > question,Can I try SynVoice before committing?,Puis-je essayer SynVoice avant de m'engager ?
Faq,items [6] > answer,"Book a demo with our team—we'll set up a proof of concept tailored to your needs, free of charge.",Réservez une démo avec notre équipe : nous mettrons gratuitement en place une preuve de concept adaptée à vos besoins.
